label,mean_energy (eV),n_components,shift (eV),log10_mse,log10_mae,area_rel_error,AICc,plot_path,source_table,component_1_amplitude,component_2_amplitude,component_3_amplitude,component_1_alpha,component_2_alpha,component_3_alpha,component_1_E_c (eV),component_2_E_c (eV),component_3_E_c (eV),component_1_beta,component_2_beta,component_3_beta
Ar_Cl2_EN_50.0_sweep50,2.6107411815965293,3,0.040555215230762595,0.0009760286274851363,0.012417863468875929,0.0007652523352261978,-9532.389277845235,outputs/ar_cl2_en_scan_jit2/plots/eedf_fits/eedf_fit_Ar_Cl2_EN_50.0_sweep50.png,outputs/ar_cl2_en_scan_jit2/eedf_table.csv,0.0013931493829411469,0.15538012672303883,0.055028011612293606,3.9999999999999996,0.7165626034844597,0.02036494735488586,3.9903254865138384,3.2130357255354944,1.7421243854249204,3.9999999999999996,3.5448432595324317,3.4633084535693883
Ar_Cl2_EN_100.0_sweep100,3.068210958335406,3,0.049443981572878326,0.0010736402776514544,0.010588321795670786,0.0004316787078371396,-9456.134586219283,outputs/ar_cl2_en_scan_jit2/plots/eedf_fits/eedf_fit_Ar_Cl2_EN_100.0_sweep100.png,outputs/ar_cl2_en_scan_jit2/eedf_table.csv,0.13429937382546794,0.0006953901796060771,0.02753594869049046,0.5871490346568856,3.9999999999999996,0.010994587690020837,3.722964489698508,4.644880841648965,2.1007993147254616,3.8287712752597303,3.9999999999999996,3.9999999999999996
Ar_Cl2_EN_150.0_sweep150,3.295603060456888,3,0.018458124376077998,0.0012009438420651263,0.00826340162557078,0.00017081226082594906,-9366.49236244432,outputs/ar_cl2_en_scan_jit2/plots/eedf_fits/eedf_fit_Ar_Cl2_EN_150.0_sweep150.png,outputs/ar_cl2_en_scan_jit2/eedf_table.csv,0.012237677362364816,0.00048606078682377927,0.13511278283616143,-0.001960111641435713,3.9999999999999996,0.5967948812481441,1.2155806183043285,4.922969835697834,3.9156522302729018,3.9999999999999996,3.9999999999999996,3.0462049272784717
Ar_Cl2_EN_200.0_sweep200,3.734105374314951,3,0.016515443774825615,0.000893185511492436,0.010859662704934051,9.15319758731077e-05,-9603.347372635495,outputs/ar_cl2_en_scan_jit2/plots/eedf_fits/eedf_fit_Ar_Cl2_EN_200.0_sweep200.png,outputs/ar_cl2_en_scan_jit2/eedf_table.csv,0.11816489489373906,0.0007473211478346963,0.007296595328071245,0.5640081545486759,3.2504265677743955,-0.04432831277660822,4.523810924535272,5.273772215137107,7.899496706605598,2.0670477197689276,3.999997634046035,3.9999985268871887
Ar_Cl2_EN_250.0_sweep250,3.950019107201918,3,0.02239212625824264,0.00045060003272051185,0.014985774767714042,0.0012481782137030888,-10150.718731292478,outputs/ar_cl2_en_scan_jit2/plots/eedf_fits/eedf_fit_Ar_Cl2_EN_250.0_sweep250.png,outputs/ar_cl2_en_scan_jit2/eedf_table.csv,0.08230789846178117,0.024018270460043734,7.809764991425785e-08,0.6009424584546299,0.07930670432426806,3.996159729130943,5.953757271849553,8.644819520169229,18.457668175334643,3.6065879733123625,3.9999999999999996,0.20012050206961138
Ar_Cl2_EN_350.0_sweep350,4.283909642350452,3,0.00622617292229308,0.0003407610491218336,0.011699118962927057,9.361089252926788e-05,-10374.237615031017,outputs/ar_cl2_en_scan_jit2/plots/eedf_fits/eedf_fit_Ar_Cl2_EN_350.0_sweep350.png,outputs/ar_cl2_en_scan_jit2/eedf_table.csv,9.891024546695472e-05,0.10075093244626479,0.0023355706474779913,3.9999999999999996,0.5079880968134882,-0.10496010714401656,5.345260808330308,5.942327955679405,145.35975225452913,3.9999999999999996,2.3003873269733948,0.20000000000000004
Ar_Cl2_EN_300.0_sweep300,4.321771102374029,3,0.026660245597580234,0.000591239902904478,0.015610660587533505,6.580681867804253e-05,-9933.405322087074,outputs/ar_cl2_en_scan_jit2/plots/eedf_fits/eedf_fit_Ar_Cl2_EN_300.0_sweep300.png,outputs/ar_cl2_en_scan_jit2/eedf_table.csv,5.4220063791311256e-05,0.096052860670643,0.002504291185171033,3.5609003339021474,0.4448485595685461,-0.09276928299332723,7.125489942913602,6.371583762189155,148.86378898550424,3.084841093528549,3.9999999999999996,0.20000000000000004
Ar_Cl2_EN_450.0_sweep450,5.521681015758377,3,0.009411561567279647,0.00029883887810773957,0.011170416974571072,9.162818707586241e-05,-10479.259164628442,outputs/ar_cl2_en_scan_jit2/plots/eedf_fits/eedf_fit_Ar_Cl2_EN_450.0_sweep450.png,outputs/ar_cl2_en_scan_jit2/eedf_table.csv,0.0006597444716552219,0.0733424787615399,0.0017525751495203314,2.444615692177718,0.5240533547844054,-0.12798155862055008,6.016045762828788,7.129711659326715,11.598304834201878,3.9999444189852515,1.8788248245688826,0.9888210619372223
Ar_Cl2_EN_400.0_sweep400,5.589454014960099,3,-0.006682570688332996,0.000359675181853849,0.01218562806883356,0.00017007468643148168,-10331.021730560135,outputs/ar_cl2_en_scan_jit2/plots/eedf_fits/eedf_fit_Ar_Cl2_EN_400.0_sweep400.png,outputs/ar_cl2_en_scan_jit2/eedf_table.csv,0.00019211496388131516,0.05143045360566979,0.04455042675522841,3.9999999999999996,0.43362821529234385,1.1145240786990027,4.064288376549389,6.602566368613877,1.477009774208435,1.5688309946571337,3.9999999999999996,0.7864515388513932
Ar_Cl2_EN_500.0_sweep500,5.875300153981446,3,-0.003762476182034749,0.0004215720759335519,0.013643306396999347,0.00031075561454192333,-10203.990202599796,outputs/ar_cl2_en_scan_jit2/plots/eedf_fits/eedf_fit_Ar_Cl2_EN_500.0_sweep500.png,outputs/ar_cl2_en_scan_jit2/eedf_table.csv,0.014461514280002835,0.053237368094487626,2.659981365010948e-08,0.6717693795714418,0.512045723149504,3.3969445707259305,6.958903643550271,8.350584287344745,20.12416274704741,3.700462112586607,2.0172216359553334,0.2721665445564278
